fluid,c_0,c_1,viscosity
S2.01,0.14724591337808246,0.15444469290397497,4.46
S2.05,0.470746308298932,0.5788666737669249,20.67
S2.06,0.545108029765328,0.6331853796599988,24.3
S2.07,0.7234193802648174,0.9127901550462618,28.94
S2.09,0.8027228496624932,0.8873555537957702,36.511
S3.03,0.632300215929982,0.8956640595557525,24.49
S3.04,0.6812586160397727,0.8924294507421542,29.36
S3.05,1.2129740306746333,1.365699655483734,55.82
S3.06,1.7104984731679047,2.12111489455349,66.96
S3.07,1.5719395498982829,1.6288895489976687,76.99
S50per,0.15855587077664068,0.16531858222526413,5.97
S60per,0.301386595673195,0.41322672087652557,10.15
S80per,0.8422851561965861,0.9460460132786201,38.7
SDS1,0.12481549755667995,0.12670796313093163,1.1
SDS10,0.12170907858373374,0.1186163679014238,1.06
SDS99,0.2070555065368345,0.2973649773451522,1.06
WD,0.11922705830818943,0.1232727477651447,0.89
WnD,0.10989883883729708,0.09025180415265487,0.89
